WavwNum_Goethite,value_Goethite
792.9537,1.484715
793.4359,1.50087
793.918,1.46542
794.4001,1.274769
794.8822,0.962582
795.3643,0.662804
795.8464,0.358852
796.3286,0.173405
796.8107,0.28791
797.2928,0.577488
797.7749,0.825504
798.257,0.983566
798.7391,1.069954
799.2213,1.100426
799.7034,1.10656
800.1855,1.038288
800.6676,0.876743
801.1497,0.72625
801.6318,0.626362
802.114,0.594929
802.5961,0.648109
803.0782,0.7332
803.5603,0.720772
804.0424,0.48325
804.5245,0.245857
805.0067,0.218819
805.4888,0.302322
805.9709,0.302124
806.453,0.058364999
806.9351,0.196354
807.4172,0.047974002
807.8994,0.467384
808.3815,0.67033
808.8636,0.652794
809.3457,0.620544
809.8278,0.618408
810.3099,0.605724
810.7921,0.503372
811.2742,0.370708
811.7563,0.324032
812.2384,0.413887
812.7205,0.603786
813.2026,1.044674
813.6848,1.510788
814.1669,1.620827
814.649,1.177086
