WavwNum_Chamosite,value_Chamosite
688.0892,51.02671
688.5713,49.2496
689.0534,47.4229
689.5355,45.73159
690.0176,44.15538
690.4998,42.51034
690.9819,40.7513
691.464,38.9524
691.9461,37.13254
692.4282,35.39203
692.9103,33.98408
693.3925,33.29461
693.8746,32.61979
694.3567,31.51652
694.8388,30.12956
695.3209,28.80106
695.803,27.41321
696.2852,26.33126
696.7673,25.81762
697.2494,25.69368
697.7315,25.00784
698.2136,23.58857
698.6957,22.16457
699.1779,21.00736
699.66,20.10147
700.1421,19.54942
700.6242,19.32238
701.1063,18.89242
701.5884,17.65874
702.0706,16.13636
702.5527,14.98796
703.0348,14.26046
703.5169,13.52562
703.999,12.45682
704.4811,11.39297
704.9633,10.57487
705.4454,10.05925
705.9275,9.715941
706.4096,9.652268
706.8917,9.637562
707.3738,9.504145
707.856,9.263683
708.3381,8.811453
708.8202,8.116316
709.3023,7.291528
709.7844,6.334751
710.2665,5.363908
710.7487,4.707443
711.2308,4.523802
711.7129,4.497138
712.195,4.54205
712.6771,4.536134
713.1592,4.293003
713.6414,3.410787
714.1235,2.68701
714.6056,2.483434
715.0877,2.521263
715.5698,2.232834
716.0519,1.456514
716.5341,0.7737
717.0162,0.317189
717.4983,0.057240002
717.9804,0.022398001
718.4625,0.064274997
718.9446,0.137694
719.4268,0.088345997
719.9089,0.0086859995
720.391,0.0065250001
720.8731,0.080884002
721.3552,0.013044
721.8373,0.622628
722.3195,1.071282
722.8016,0.813088
723.2837,0.957566
723.7658,0.799054
724.2479,0.111643
724.73,0.739282
725.2122,0.418041
725.6943,0.874975
726.1765,0.749394
726.6586,0.661148
727.1407,0.039507002
727.6228,0.017403999
728.1049,0.449405
728.587,0.744953
729.0692,0.821685
729.5513,0.74376
730.0334,0.456577
730.5155,0.092588
730.9976,0.254374
731.4797,0.646924
731.9619,0.786546
732.444,0.3541
732.9261,0.161319
733.4082,0.37441
733.8903,0.163431
734.3724,0.065080002
734.8546,0.132394
735.3367,0.252107
735.8188,0.225082
736.3009,0.108917
736.783,0.214209
737.2651,0.677668
737.7473,0.220819
738.2294,0.202971
738.7115,0.400614
739.1936,0.438968
739.6757,0.048551999
740.1578,0.391445
740.64,0.237791
741.1221,0.12984
741.6042,0.201861
742.0863,0.226074
742.5684,0.472998
743.0505,0.347211
743.5327,0.066027001
744.0148,0.165834
744.4969,0.615212
744.979,1.011512
745.4611,1.193222
745.9432,1.265705
746.4254,1.30167
746.9075,1.338285
747.3896,1.472443
747.8717,1.997044
748.3538,2.3788
748.8359,2.202616
749.3181,1.630381
749.8002,1.51258
750.2823,2.17408
750.7644,2.760158
751.2465,2.969361
751.7286,2.901783
752.2108,3.035818
752.6929,3.374501
753.175,3.754646
753.6571,4.150556
754.1392,4.496845
754.6213,4.69752
755.1035,4.753213
755.5856,4.665289
756.0677,4.217333
756.5498,3.810267
757.0319,3.669409
757.514,3.81574
757.9962,4.090512
758.4783,4.540692
758.9604,5.027832
759.4425,5.556038
759.9246,6.112789
760.4067,6.297519
760.8889,6.076662
761.371,5.777709
761.8531,5.458672
762.3352,5.289412
762.8173,5.787796
763.2994,6.945699
763.7816,7.870998
764.2637,7.793355
764.7458,7.422698
765.2279,7.281205
765.71,7.480195
766.1921,7.603974
766.6743,7.488446
767.1564,7.462078
767.6385,7.171506
768.1206,7.788196
768.6027,8.19851
769.0848,8.41351
769.567,7.854355
770.0491,8.312865
770.5312,8.380922
771.0133,8.442199
771.4954,9.068753
771.9775,8.644552
772.4597,9.225866
772.9418,9.389447
773.424,9.740252
773.9061,9.690036
774.3882,9.77204
774.8703,10.41154
775.3524,10.85738
775.8345,11.10753
776.3167,11.16141
776.7988,11.03435
777.2809,10.72515
777.763,10.46373
778.2451,10.54745
778.7272,10.85367
779.2094,11.10518
779.6915,11.2576
780.1736,11.33937
780.6557,11.34198
781.1378,11.38084
781.6199,11.53879
782.1021,11.93156
782.5842,12.20956
783.0663,12.4793
783.5484,12.68336
784.0305,12.7189
784.5126,12.55491
784.9948,12.6605
785.4769,13.12293
785.959,13.64684
786.4411,13.97214
786.9232,14.12481
787.4053,14.09785
787.8875,13.81504
788.3696,13.60366
788.8517,13.76473
789.3338,13.4825
789.8159,13.87657
790.298,14.06171
790.7802,14.04873
791.2623,13.24591
791.7444,13.4465
792.2265,13.24036
792.7086,13.01386
793.1907,13.34521
793.6729,12.64011
794.155,12.95915
794.6371,12.86624
795.1192,12.95277
795.6013,12.66425
796.0834,12.5016
796.5656,12.73194
797.0477,12.73446
797.5298,12.5176
798.0119,12.3705
798.494,11.7995
798.9761,11.42991
799.4583,11.36997
799.9404,11.4718
800.4225,11.45144
800.9046,11.34338
801.3867,11.37459
801.8688,11.64362
802.351,11.91488
802.8331,12.00696
803.3152,11.93453
803.7973,11.71124
804.2794,11.26104
804.7615,10.79433
805.2437,10.26634
805.7258,9.789503
806.2079,9.520728
806.69,9.555525
807.1721,9.395123
807.6542,8.941038
808.1364,8.420305
808.6185,8.142307
809.1006,8.047078
809.5827,7.953112
810.0648,7.807406
810.5469,7.697604
