WavwNum_Gaspeite,value_Gaspeite
637.2125,2.286465
637.6946,2.23365
638.1767,1.821732
638.6588,1.374683
639.1409,0.910751
639.623,0.519173
640.1052,0.217594
640.5873,0.029919
641.0694,0.103264
641.5515,0.414608
642.0336,0.687309
642.5157,0.698772
642.9979,0.588406
643.48,0.485691
643.9621,0.399235
644.4442,0.394211
644.9263,0.759064
645.4084,1.063549
645.8906,0.908981
646.3727,0.313362
646.8548,0.970814
647.3369,0.660282
647.819,0.018955
648.3011,0.350834
648.7833,0.227898
649.2654,0.11953
649.7475,0.101124
650.2296,0.125771
650.7117,0.048611
651.1938,0.112541
651.676,0.127522
652.1581,0.22369
652.6402,0.653522
653.1223,0.701206
653.6044,0.476578
654.0865,0.361954
654.5687,0.720192
655.0508,1.146488
655.5329,1.361443
656.015,1.336723
656.4971,1.347504
656.9792,1.557362
657.4614,1.733341
657.9435,1.722889
658.4256,1.421089
658.9077,1.326675
659.3898,1.542744
659.8719,1.783741
660.3541,1.712811
660.8362,1.341824
661.3183,1.022831
661.8004,0.788235
662.2825,0.693039
662.7646,1.020302
663.2468,1.545609
663.7289,1.695938
664.211,0.96299
664.6931,0.171665
665.1752,0.072598003
665.6573,0.064029999
666.1395,0.139355
666.6216,0.063602
667.1037,0.041126002
667.5858,0.18174
668.0679,0.452103
668.55,0.59296
669.0322,0.503471
669.5143,0.489674
669.9964,0.746929
670.4785,1.250153
670.9606,1.481853
671.4427,1.419689
671.9249,1.30278
672.407,1.36636
672.8891,1.514633
673.3712,1.483612
673.8533,1.225254
674.3354,1.049427
674.8176,1.354061
675.2997,1.77388
675.7818,1.907455
676.2639,1.5061
676.746,1.121464
677.2281,0.920052
677.7103,0.787453
678.1924,0.568546
678.6745,0.12965
679.1566,0.101879
679.6387,0.032478001
680.1208,0.237049
680.603,0.549992
681.0851,0.900204
681.5672,1.122154
682.0493,1.091103
682.5314,0.968102
683.0135,1.051907
683.4957,1.281242
683.9778,1.412697
684.4599,1.309406
684.942,1.065308
685.4241,0.542412
685.9063,0.194138
686.3884,0.417007
686.8705,0.767567
687.3526,1.868977
687.8347,2.177601
688.3168,1.553177
688.799,1.104935
689.2811,0.85611
689.7632,0.717033
690.2453,0.593723
690.7274,0.497341
691.2095,0.685211
691.6917,1.229496
692.1738,1.639088
692.6559,1.106628
693.138,0.150501
693.6201,0.326221
694.1022,0.017742001
694.5844,0.512554
695.0665,1.236752
695.5486,1.887321
696.0307,2.122417
696.5128,1.466419
696.9949,0.886948
697.4771,0.425461
697.9592,0.115528
698.4413,0.081303
698.9234,0.418793
699.4055,0.644039
699.8876,0.556946
700.3698,0.346661
700.8519,0.550575
701.334,1.111279
701.8161,1.641212
702.2982,2.033546
702.7803,2.228878
703.2625,2.055534
703.7446,1.584526
704.2267,1.158058
704.7088,0.975517
705.1909,0.861897
705.673,0.6502
706.1552,0.264626
706.6373,0.241398
707.1194,0.83429
707.6015,1.436935
708.0836,1.724495
708.5657,1.685928
709.0479,1.447102
709.53,0.958759
710.0121,0.627258
710.4942,0.992447
710.9763,1.740158
711.4584,2.264694
711.9406,2.498005
712.4227,2.440113
712.9048,1.739822
713.3869,0.921772
713.869,0.568047
714.3511,1.173019
714.8333,1.592289
715.3154,1.249512
715.7975,0.814445
716.2796,1.097916
716.7617,2.521694
717.2438,3.412979
717.726,3.524258
718.2081,3.090595
718.6902,2.269783
719.1723,1.150333
719.6544,0.494473
720.1365,0.641121
720.6187,1.194447
721.1008,1.974636
721.5829,2.7925
722.065,3.224861
722.5471,2.602455
723.0292,2.033474
723.5114,2.086853
723.9935,2.623093
724.4756,3.020214
724.9577,3.242035
725.4398,3.327984
725.9219,3.23811
726.4041,3.016384
726.8862,2.883286
727.3683,2.830444
727.8504,2.963123
728.3325,3.560738
728.8146,4.32106
729.2968,4.496624
729.7789,4.146847
730.261,3.832684
730.7431,3.965107
731.2252,4.224289
731.7073,4.366066
732.1895,4.354755
732.6716,4.410835
733.1537,4.647087
733.6358,4.892311
734.1179,5.055962
734.6,5.114029
735.0822,5.221939
735.5643,5.381447
736.0464,5.583714
736.5285,5.826603
737.0106,6.097881
737.4927,6.465206
737.9749,6.956085
738.457,7.31295
738.9391,7.177513
739.4212,6.839741
739.9033,6.645878
740.3854,6.74548
740.8676,6.803139
741.3497,6.644867
741.8318,6.446938
742.3139,6.399918
742.796,6.60479
743.2781,6.715759
743.7603,6.718304
744.2424,6.58773
744.7245,6.237209
745.2066,5.692974
745.6887,5.308693
746.1708,5.21674
746.653,5.177235
747.1351,4.876858
747.6172,4.438313
748.0993,4.081345
748.5814,4.111427
749.0635,3.974709
749.5457,3.2444
750.0278,2.248409
750.5099,1.711571
750.992,1.871906
751.4741,2.042542
751.9562,2.16571
752.4384,2.236332
752.9205,2.26268
753.4026,2.229557
753.8847,2.203392
754.3668,2.185108
754.8489,2.242542
755.3311,2.665749
755.8132,3.270771
756.2953,3.506779
756.7774,2.75182
757.2595,1.928558
757.7416,1.485298
758.2238,1.37421
758.7059,1.204494
759.188,0.815144
759.6701,0.56189
760.1522,0.595322
760.6343,0.858894
761.1165,1.028061
761.5986,1.093544
762.0807,1.25034
762.5628,1.860325
763.0449,2.519073
763.527,2.292099
764.0092,1.365303
764.4913,0.73431
764.9734,1.422085
765.4555,2.176376
765.9376,2.189213
766.4197,1.421719
766.9019,0.713287
767.384,0.096557997
767.8661,0.529404
768.3482,0.212444
768.8303,0.802837
769.3124,1.223396
769.7946,1.016144
770.2767,0.711342
770.7588,0.627266
771.2409,0.717873
771.723,0.983437
772.2051,1.405998
772.6873,1.70097
773.1694,1.647453
773.6515,1.448002
774.1336,1.191463
774.6157,0.854355
775.0978,0.692753
775.58,0.817196
776.0621,0.974487
776.5442,1.02655
777.0263,0.970528
777.5084,0.799797
777.9905,0.487209
778.4727,0.308937
778.9548,0.70591
779.4369,1.32951
779.919,1.533352
780.4011,1.236439
780.8832,0.879375
781.3654,0.648258
781.8475,0.502922
782.3296,0.417305
782.8117,0.395603
783.2938,0.425941
783.7759,0.50761
784.2581,0.64423
784.7402,0.909039
785.2223,1.302437
785.7044,1.332928
786.1865,0.940434
786.6686,0.558567
787.1508,0.715153
787.6329,1.108124
788.115,1.226181
788.5971,0.940262
789.0792,0.736423
789.5613,0.921989
790.0435,1.235981
790.5256,1.48785
791.0077,1.709915
791.4898,1.73518
791.9719,1.527401
792.454,1.180485
792.9362,0.686436
793.4183,0.074436001
793.9004,0.165028
794.3825,0.038727
794.8646,0.303299
795.3467,0.193855
795.8289,0.049465001
796.311,0.079848997
796.7931,0.232651
797.2752,0.516426
797.7573,0.697441
798.2394,0.80537
798.7216,0.867805
799.2037,0.882553
799.6858,0.855118
800.1679,0.768856
800.65,0.67728
801.1321,0.597351
801.6143,0.548874
802.0964,0.661869
802.5785,0.966427
803.0606,1.270893
803.5427,1.408642
804.0248,1.44915
804.507,1.471611
804.9891,1.500301
805.4712,1.480991
805.9533,1.29134
806.4354,1.133251
806.9175,1.228172
807.3997,1.75135
807.8818,1.689819
808.3639,0.904705
808.846,0.025131
809.3281,0.588474
809.8102,0.817486
810.2924,0.737938
810.7745,0.327366
811.2566,0.146812
811.7387,0.633842
812.2208,1.010273
812.7029,1.099579
813.1851,0.619762
813.6672,0.612762
814.1493,1.606117
814.6314,2.496204
815.1135,2.197891
815.5956,0.631336
816.0778,0.203568
816.5599,0.18811
817.042,0.203049
817.5241,0.771179
818.0062,1.316895
818.4883,1.466179
818.9705,1.118103
819.4526,0.831211
819.9347,0.976139
820.4168,1.203938
820.8989,1.259342
821.381,1.109314
821.8632,0.869232
822.3453,0.434689
822.8274,0.139526
823.3095,0.448391
823.7916,1.190334
824.2737,1.317299
824.7559,0.777199
825.238,0.172894
825.7201,0.177803
826.2022,0.214333
826.6843,0.225597
827.1664,1.202511
827.6486,1.76416
828.1307,1.264137
828.6128,0.730152
829.0949,0.708233
829.577,1.251324
830.0591,1.479088
830.5413,1.361828
831.0234,1.098713
831.5055,0.590916
831.9876,0.122936
832.4697,0.497967
832.9518,1.659687
833.434,2.477032
833.9161,1.874283
834.3982,1.051567
834.8803,0.759296
835.3624,1.092064
835.8445,1.424343
836.3267,1.813824
836.8088,2.085762
837.2909,2.106434
837.773,1.93018
838.2551,1.918854
838.7372,2.05769
839.2194,2.103176
839.7015,1.83215
840.1836,1.441612
