WavwNum_Corundum,value_Corundum
683.2394,190.8965
683.7215,161.5508
684.2036,121.3242
684.6857,90.35742
685.1678,68.56055
685.65,54.73633
686.1321,45.76172
686.6142,49.49805
687.0963,78.23438
687.5784,126.3828
688.0605,140.0215
688.5427,108.7715
689.0248,69.32422
689.5069,41.00586
689.989,22.7207
690.4711,1.019531
690.9532,31.65625
691.4354,54.65234
691.9175,51.51953
692.3996,33.45898
692.8817,18.58984
693.3638,11.52734
693.8459,4.046875
694.3281,17.05078
694.8102,38.90039
695.2923,44.07422
695.7744,0.748047
696.2565,23.9082
696.7386,2.966797
697.2208,42.28516
697.7029,58.93945
698.185,41.0
698.6671,14.375
699.1492,20.33594
699.6313,54.41797
700.1135,44.55664
700.5956,6.125
701.0777,44.66797
701.5598,7.494141
702.0419,48.65234
702.524,44.83203
703.0062,27.67578
703.4883,94.1543
703.9704,115.1621
704.4525,117.3691
704.9346,122.2168
705.4167,147.6016
705.8989,145.6836
706.381,90.16211
706.8631,30.37109
707.3452,37.52148
707.8273,126.6777
708.3094,180.5332
708.7916,170.207
709.2737,129.8828
709.7558,120.1426
710.2379,134.9199
710.72,149.3848
711.2021,151.0391
711.6843,148.3398
712.1664,153.1719
712.6485,161.2402
713.1306,154.4863
713.6127,95.48242
714.0948,46.88672
714.577,47.79883
715.0591,102.5684
715.5412,124.8867
716.0233,96.36328
716.5054,67.29883
716.9875,78.15625
717.4697,128.3379
717.9518,155.4824
718.4339,155.3809
718.916,140.3398
719.3981,105.9902
719.8802,69.24219
720.3624,68.48047
720.8445,130.7988
721.3266,188.002
